,Unnamed: 0,absoluteYardlineNumber,coverage_type,defender,defender_num,defendersInTheBox,defense,down,epa,gameClock,gameDate,gameId,gameTimeEastern,gsis_play_id,homeTeamAbbr,isDefensivePI,numberOfPassRushers,offense,offenseFormation,offensePlayResult,passResult,pass_breakup,pass_coverage,pass_pattern_basic,pass_pattern_by_player,pass_receiver_target,pbu,penaltyCodes,penaltyJerseyNumbers,personnelD,personnelO,playDescription,playId,playResult,playType,poss_team_fixed,possessionTeam,preSnapHomeScore,preSnapVisitorScore,press_players,quarter,receiver,receiver_num,route,route_name,targeted,typeDropback,visitorTeamAbbr,week,yardlineNumber,yardlineSide,yardsToGo
1,3224.0,64.0,MAN,NO 23,23.0,7.0,NO,1.0,-0.287591545665704,13:15:00,09/09/2018,2018090906.0,13:00:00,2339.0,NO,0.0,6.0,TB,SINGLEBACK,3.0,C,,1b,9; 3; -; 3; 9,TB 11 9o; TB 10 3(4); TB 25 kr; TB 84 3(5); TB 16 9,TB 10,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR","(13:15) R.Fitzpatrick pass short left to A.Humphries pushed ob at TB 49 for 3 yards (P.Robinson). Pass 3, YAC 0",2339.0,3.0,play_type_pass,TB,TB,24.0,31.0,NO 20 > TB 11; NO 23 > TB 16,3.0,TB 16,16.0,9,Go,0.0,TRADITIONAL,TB,1.0,46.0,TB,10.0
0,3224.0,64.0,MAN,NO 20,20.0,7.0,NO,1.0,-0.287591545665704,13:15:00,09/09/2018,2018090906.0,13:00:00,2339.0,NO,0.0,6.0,TB,SINGLEBACK,3.0,C,,1b,9; 3; -; 3; 9,TB 11 9o; TB 10 3(4); TB 25 kr; TB 84 3(5); TB 16 9,TB 10,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR","(13:15) R.Fitzpatrick pass short left to A.Humphries pushed ob at TB 49 for 3 yards (P.Robinson). Pass 3, YAC 0",2339.0,3.0,play_type_pass,TB,TB,24.0,31.0,NO 20 > TB 11; NO 23 > TB 16,3.0,TB 11,11.0,9,Go,0.0,TRADITIONAL,TB,1.0,46.0,TB,10.0
1,3213.0,70.0,MAN,NO 23,23.0,6.0,NO,1.0,-0.387952799757341,03:09:00,09/09/2018,2018090906.0,13:00:00,730.0,NO,0.0,5.0,TB,SHOTGUN,0.0,I,,1b,4; 3; -; 3; 6,TB 12 4(10); TB 10 63(4); TB 25 kr; TB 84 1; TB 13 6o(10),,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR",(3:09) (Shotgun) R.Fitzpatrick pass incomplete short right to C.Brate (C.Jordan).,730.0,0.0,play_type_pass,TB,TB,10.0,7.0,NO 21 > TB 10; NO 23 > TB 13,1.0,TB 13,13.0,6,Hitch/Curl,0.0,TRADITIONAL,TB,1.0,40.0,NO,10.0
2,3208.0,64.0,MAN,GB 38,38.0,5.0,GB,4.0,-2.8306389306142794,01:06:00,09/09/2018,2018090912.0,20:20:00,3871.0,GB,0.0,3.0,CHI,SHOTGUN,-7.0,S,,2M,9; H5; H4; 8; 9,CHI 12 39(12); CHI 29 h5(0); CHI 46 krh21(0); CHI 80 8s(13); CHI 18 79(15),,0.0,,,"1 DL, 3 LB, 7 DB","2 RB, 1 TE, 2 WR","(1:06) (Shotgun) M.Trubisky sacked at CHI 38 for -8 yards (N.Perry). FUMBLES (N.Perry) [N.Perry], RECOVERED by GB-K.Clark at CHI 39. K.Clark to CHI 39 for no gain (K.Long).",3871.0,-7.0,play_type_sack,CHI,CHI,24.0,23.0,GB 20 > CHI 18; GB 37 > CHI 80; GB 38 > CHI 12,4.0,CHI 12,12.0,9,Go,0.0,SCRAMBLE_ROLLOUT_RIGHT,CHI,1.0,46.0,CHI,10.0
0,3208.0,64.0,MAN,GB 20,20.0,5.0,GB,4.0,-2.8306389306142794,01:06:00,09/09/2018,2018090912.0,20:20:00,3871.0,GB,0.0,3.0,CHI,SHOTGUN,-7.0,S,,2M,9; H5; H4; 8; 9,CHI 12 39(12); CHI 29 h5(0); CHI 46 krh21(0); CHI 80 8s(13); CHI 18 79(15),,0.0,,,"1 DL, 3 LB, 7 DB","2 RB, 1 TE, 2 WR","(1:06) (Shotgun) M.Trubisky sacked at CHI 38 for -8 yards (N.Perry). FUMBLES (N.Perry) [N.Perry], RECOVERED by GB-K.Clark at CHI 39. K.Clark to CHI 39 for no gain (K.Long).",3871.0,-7.0,play_type_sack,CHI,CHI,24.0,23.0,GB 20 > CHI 18; GB 37 > CHI 80; GB 38 > CHI 12,4.0,CHI 18,18.0,9,Go,0.0,SCRAMBLE_ROLLOUT_RIGHT,CHI,1.0,46.0,CHI,10.0
3,3230.0,41.0,MAN,TB 36,36.0,6.0,TB,3.0,-1.97845293666596,10:29:00,09/09/2018,2018090906.0,13:00:00,1350.0,NO,0.0,6.0,NO,SHOTGUN,-7.0,S,,1b,4; -; 3; 3; 9,NO 80 4(11); NO 42 kl; NO 13 3(9); NO 82 1; NO 19 9,,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR",(10:29) (Shotgun) D.Brees sacked at NO 24 for -7 yards (V.Curry).,1350.0,-7.0,play_type_sack,NO,NO,17.0,17.0,TB 23 > NO 82; TB 28 > NO 13; TB 29 > NO 80; TB 36 > NO 19,2.0,NO 19,19.0,9,Go,0.0,TRADITIONAL,TB,1.0,31.0,NO,4.0
0,3231.0,80.0,MAN,NO 20,20.0,6.0,NO,2.0,-0.8476639426845219,09:01:00,09/09/2018,2018090906.0,13:00:00,1419.0,NO,0.0,5.0,TB,SINGLEBACK,0.0,I,,1b,0; 3; H0; -; 9,TB 10 0t(0); TB 13 1z; TB 25 h0(-4); TB 80 z; TB 12 9z,TB 10,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR",(9:01) R.Fitzpatrick pass incomplete short left to A.Humphries (M.Davenport).,1419.0,0.0,play_type_pass,TB,TB,17.0,17.0,NO 20 > TB 12; NO 21 > TB 10; NO 23 > TB 13,2.0,TB 12,12.0,9,Go,0.0,TRADITIONAL,TB,1.0,30.0,TB,2.0
2,3236.0,68.0,MAN,NO 24,24.0,6.0,NO,1.0,1.15938497473859,08:30:00,09/09/2018,2018090906.0,13:00:00,1465.0,NO,0.0,5.0,TB,SHOTGUN,19.0,C,,1b,4; 3; H6; 9; 2,TB 12 4(10); TB 10 1; TB 25 h66(1); TB 80 9bo(18); TB 13 2(1),TB 80,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR","(8:30) (Shotgun) R.Fitzpatrick pass deep right to O.Howard to NO 39 for 19 yards (V.Bell). Pass 17, YAC 2",1465.0,19.0,play_type_pass,TB,TB,17.0,17.0,NO 20 > TB 12; NO 23 > TB 13; NO 24 > TB 80,2.0,TB 80,80.0,9,Go,1.0,TRADITIONAL,TB,1.0,42.0,TB,10.0
2,3235.0,70.0,MAN,NO 23,23.0,6.0,NO,2.0,1.2385725568843702,03:06:00,09/09/2018,2018090906.0,13:00:00,752.0,NO,0.0,6.0,TB,SHOTGUN,16.0,C,,1b,4; H3; 9; 6; 9,TB 84 4(14); TB 25 klh3(-3); TB 12 9so; TB 10 26(2); TB 13 9,TB 12,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR","(3:06) (Shotgun) R.Fitzpatrick pass short right to C.Godwin to NO 24 for 16 yards (M.Williams). Pass 15, YAC 1",752.0,16.0,play_type_pass,TB,TB,10.0,7.0,NO 20 > TB 12; NO 21 > TB 10; NO 23 > TB 13; NO 24 > TB 84,1.0,TB 13,13.0,9,Go,0.0,TRADITIONAL,TB,1.0,40.0,NO,10.0
1,3235.0,70.0,MAN,NO 21,21.0,6.0,NO,2.0,1.2385725568843702,03:06:00,09/09/2018,2018090906.0,13:00:00,752.0,NO,0.0,6.0,TB,SHOTGUN,16.0,C,,1b,4; H3; 9; 6; 9,TB 84 4(14); TB 25 klh3(-3); TB 12 9so; TB 10 26(2); TB 13 9,TB 12,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR","(3:06) (Shotgun) R.Fitzpatrick pass short right to C.Godwin to NO 24 for 16 yards (M.Williams). Pass 15, YAC 1",752.0,16.0,play_type_pass,TB,TB,10.0,7.0,NO 20 > TB 12; NO 21 > TB 10; NO 23 > TB 13; NO 24 > TB 84,1.0,TB 10,10.0,6,Hitch/Curl,0.0,TRADITIONAL,TB,1.0,40.0,NO,10.0
0,3235.0,70.0,MAN,NO 20,20.0,6.0,NO,2.0,1.2385725568843702,03:06:00,09/09/2018,2018090906.0,13:00:00,752.0,NO,0.0,6.0,TB,SHOTGUN,16.0,C,,1b,4; H3; 9; 6; 9,TB 84 4(14); TB 25 klh3(-3); TB 12 9so; TB 10 26(2); TB 13 9,TB 12,0.0,,,"4 DL, 2 LB, 5 DB","1 RB, 1 TE, 3 WR","(3:06) (Shotgun) R.Fitzpatrick pass short right to C.Godwin to NO 24 for 16 yards (M.Williams). Pass 15, YAC 1",752.0,16.0,play_type_pass,TB,TB,10.0,7.0,NO 20 > TB 12; NO 21 > TB 10; NO 23 > TB 13; NO 24 > TB 84,1.0,TB 12,12.0,9,Go,1.0,TRADITIONAL,TB,1.0,40.0,NO,10.0
