"","gameId","gsis_play_id","poss_team_fixed","offense","defense","coverage_type","pass_coverage","pass_pattern_by_player","pass_pattern_basic","pass_breakup","pass_receiver_target","press_players","playId","playDescription","quarter","down","yardsToGo","possessionTeam","playType","yardlineSide","yardlineNumber","offenseFormation","personnelO","defendersInTheBox","numberOfPassRushers","personnelD","typeDropback","preSnapVisitorScore","preSnapHomeScore","gameClock","absoluteYardlineNumber","penaltyCodes","penaltyJerseyNumbers","passResult","offensePlayResult","playResult","epa","isDefensivePI","gameDate","gameTimeEastern","homeTeamAbbr","visitorTeamAbbr","week"
"1",2018093001,1420,"CHI","CHI","TB","MAN","1","CHI 18 9si; CHI 15 frxj(-3); CHI 24 flh1(-4); CHI 88 k; CHI 12 9","9; X; H1; -; 9","TB 58","CHI 24","TB 36 > CHI 18",1420,"(10:45) M.Trubisky pass incomplete short left to J.Howard (K.Alexander).",2,1,10,"CHI","play_type_pass","CHI",27,"SINGLEBACK","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",3,21,"10:45:00",83,"","","I",0,0,-0.508201824175908,FALSE,"09/30/2018","13:00:00","CHI","TB",4
"2",2018122400,686,"DEN","DEN","OAK","MAN","2Mb","DEN 14 xd(2); DEN 23 kl; DEN 81 xo(8); DEN 17 6(14); DEN 89 9o","X; -; X; 6; 9",NA,"DEN 14","OAK 23 > DEN 81; OAK 37 > DEN 14; OAK 50 > DEN 89",686,"(3:58) (Shotgun) C.Keenum pass short middle to C.Sutton pushed ob at 50 for 7 yards (M.Gilchrist).",1,3,8,"DEN","play_type_pass","DEN",43,"SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"3 DL, 2 LB, 6 DB","TRADITIONAL",0,7,"03:58:00",53,"","","C",7,7,-1.24689615703848,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"3",2018122400,1357,"OAK","OAK","DEN","MAN","1b","OAK 88 xl(5); OAK 28 h21(-1); OAK 83 k; OAK 85 x6(4); OAK 82 7i(14)","X; H4; -; X; 7",NA,"OAK 28","DEN 22 > OAK 82; DEN 29 > OAK 88",1357,"(9:18) D.Carr pass short right to D.Martin pushed ob at DEN 30 for 9 yards (T.Davis).",2,3,2,"OAK","play_type_pass","DEN",39,"SINGLEBACK","1 RB, 2 TE, 2 WR",7,4,"3 DL, 4 LB, 4 DB","SCRAMBLE_ROLLOUT_RIGHT",0,7,"09:18:00",71,"","","C",9,9,1.4735658286556,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"4",2018123007,1406,"CAR","CAR","NO","MAN","1b","CAR 12 2(1); CAR 13 0(-5); CAR 34 kl; CAR 80 k; CAR 10 2(4)","2; 0; -; -; 2",NA,"CAR 13","NO 23 > CAR 12; NO 25 > CAR 10",1406,"(8:19) (Shotgun) K.Allen pass incomplete short left to J.Wright [M.Davenport].",2,2,10,"CAR","play_type_pass","CAR",20,"SHOTGUN","1 RB, 1 TE, 3 WR",7,6,"4 DL, 2 LB, 5 DB","DESIGNED_ROLLOUT_LEFT",13,0,"08:19:00",30,"","","I",0,0,-0.836462515938597,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"5",2018111105,3981,"ARI","ARZ","KC","MAN","2M","ARZ 13 3(11); ARZ 29 ch7(0); ARZ 86 9s; ARZ 11 3(4); ARZ 16 3(15)","3; H7; 9; 3; 3",NA,"ARZ 11","KC 23 > ARZ 11; KC 49 > ARZ 86",3981,"(:59) (Shotgun) J.Rosen pass short right to L.Fitzgerald to 50 for 9 yards (K.Fuller).",4,4,4,"ARI","play_type_pass","ARI",41,"SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"3 DL, 2 LB, 6 DB","TRADITIONAL",14,26,"00:59:00",51,"","","C",9,9,1.41671646597869,FALSE,"11/11/2018","13:00:00","KC","ARI",10
"6",2018101406,3845,"IND","IND","NYJ","MAN","2M","IND 16 4(4); IND 14 2(4); IND 80 7(8); IND 21 h21(-1); IND 85 7(9)","4; 2; 7; H4; 7",NA,"IND 14","NYJ 58 > IND 85",3845,"(5:55) (Shotgun) A.Luck pass short middle to Z.Pascal to IND 31 for 6 yards (P.Nickerson).",4,1,10,"IND","play_type_pass","IND",25,"SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",27,39,"05:55:00",85,"","","C",6,6,-0.089105506265132,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"7",2018101406,3913,"IND","IND","NYJ","MAN","1","IND 14 8(19); IND 85 xo(15); IND 21 klh4(0); IND 80 xo(9); IND 16 xd(1)","8; X; H4; X; X",NA,"IND 14","NYJ 21 > IND 14",3913,"(5:25) (Shotgun) A.Luck pass incomplete deep middle to Z.Pascal [L.Williams].",4,4,4,"IND","play_type_pass","IND",31,"SHOTGUN","1 RB, 1 TE, 3 WR",6,3,"4 DL, 2 LB, 5 DB","TRADITIONAL",27,39,"05:25:00",79,"","","I",0,0,-2.7080641721856,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"8",2018101406,193,"IND","IND","NYJ","MAN","1b","IND 14 8(19); IND 80 34(5); IND 85 3(15); IND 33 krh26(-3); IND 11 4(15)","8; 4; 3; H2; 4",NA,"IND 85","NYJ 43 > IND 80",193,"(14:11) (Shotgun) A.Luck pass short left to E.Ebron to IND 42 for 15 yards (J.Adams).",1,3,8,"IND","play_type_pass","IND",27,"SHOTGUN","1 RB, 1 TE, 3 WR",6,6,"3 DL, 2 LB, 6 DB","TRADITIONAL",0,7,"14:11:00",37,"","","C",15,15,2.42128468399216,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"9",2018101406,542,"NYJ","NYJ","IND","MAN","1b","NYJ 11 r; NYJ 81 r; NYJ 20 fl; NYJ 85 1; NYJ 10 8(7)","-; -; -; 3; 8",NA,"NYJ 85","IND 27 > NYJ 10",542,"(6:35) (Shotgun) S.Darnold pass short right to N.Sterling to IND 11 for 6 yards (M.Mitchell; C.Phillips).",1,1,10,"NYJ","play_type_pass","IND",17,"SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"4 DL, 2 LB, 5 DB","TRADITIONAL",7,7,"06:35:00",27,"","","C",6,6,0.23482376319487,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"10",2018101406,1128,"IND","IND","NYJ","MAN","1b","IND 11 4(5); IND 14 xd(2); IND 80 4(13); IND 33 h21(0); IND 85 7(8)","4; X; 4; H4; 7",NA,"IND 85","NYJ 21 > IND 11",1128,"(12:43) (Shotgun) A.Luck pass short right to E.Ebron pushed ob at NYJ 16 for 19 yards (A.Williamson).",2,2,4,"IND","play_type_pass","NYJ",35,"SHOTGUN","1 RB, 1 TE, 3 WR",7,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",10,10,"12:43:00",45,"","","C",19,19,1.41063478816309,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
